Factor 1,Factor 2,Cluster 1,Cluster 2,Distance
Ejecución,Indicadores,0,3,2.771847794400518
Ejecución,Inversión,0,3,6.258238188295117
Ejecución,Satisfacción,0,3,6.9599206012257815
Ejecución,Tecnologías avanzadas,0,3,2.0083137360405376
Innovación,Acuerdos,0,3,3.475550544584015
Innovación,Eficiencia,0,3,2.489115533367801
Innovación,Experiencia acumulada,0,3,3.3507377352779137
Innovación,Experiencia del cliente,0,3,2.67609508486968
Innovación,Experiencia fluída,0,3,3.046027733107781
Innovación,Indicadores,0,3,2.615405759934259
Innovación,Inversión,0,3,8.420111706253962
Innovación,Satisfacción,0,3,5.339771816598915
Innovación,Tecnologías avanzadas,0,3,2.48396458035418
Inventarios,Acuerdos,0,3,2.4106653814927386
Inventarios,Eficiencia,0,3,2.359529983514908
Inventarios,Experiencia acumulada,0,3,3.1043371439278733
Inventarios,Experiencia del cliente,0,3,2.910466596691289
Inventarios,Experiencia fluída,0,3,2.73586613253805
